COMUNA,LOCAL DE VOTACION,NOMBRE DEL CANDIDATO,VOTOS,CALLE,NUMERO,LATITUD,LONGITUD,Lista
SAN MIGUEL,colegio bicentenario santo cura de ars,Sebastian Andres Mendez Almazan,13,CARMEN MENA,939,-33.5068,-70.6519,U
SAN MIGUEL,colegio bicentenario santo cura de ars,Susan Sol Atuan Salcedo,114,CARMEN MENA,939,-33.5068,-70.6519,I
SAN MIGUEL,colegio bicentenario santo cura de ars,Tania Alejandra Lagos Anabalon,61,CARMEN MENA,939,-33.5068,-70.6519,F
SAN MIGUEL,colegio bicentenario santo cura de ars,Tatiana del Pilar Riveros Gutierrez,103,CARMEN MENA,939,-33.5068,-70.6519,R
SAN MIGUEL,colegio bicentenario santo cura de ars,Valeria Belen Reyes Policroni,46,CARMEN MENA,939,-33.5068,-70.6519,G
SAN MIGUEL,colegio bicentenario santo cura de ars,Viviana Paz Llambias Miranda,312,CARMEN MENA,939,-33.5068,-70.6519,A
SAN MIGUEL,colegio chile,Alejandro Antonio Hidalgo Araya,10,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,F
SAN MIGUEL,colegio chile,Andrea Solange Charpentier Luci,18,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,G
SAN MIGUEL,colegio chile,Andres Kebir Diban Dinamarca,235,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,A
SAN MIGUEL,colegio chile,Bastian Woldarsky Cumsille,51,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,E
SAN MIGUEL,colegio chile,Betzabe Moya Cabello,62,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,A
SAN MIGUEL,colegio chile,Camila Paz Ramirez Rebolledo,62,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,X
SAN MIGUEL,colegio chile,Carla Andrea Santana Bustamante,108,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,A
SAN MIGUEL,colegio chile,Carlos Alberto Perez Aguirre,83,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,A
SAN MIGUEL,colegio chile,Carlos Arnoldo Garcia Ponce,49,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,U
SAN MIGUEL,colegio chile,Carlos Enrique Torres Perez,42,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,E
SAN MIGUEL,colegio chile,Cesar Benavides Diaz,49,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,I
SAN MIGUEL,colegio chile,Claudia Rojas Miranda,101,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,E
SAN MIGUEL,colegio chile,Claudio Escobar Oyarzun,255,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,ZZI
SAN MIGUEL,colegio chile,Cristian Alejandro Marambio Gomez,28,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,Y
SAN MIGUEL,colegio chile,Cristian Ignacio Duran Martinez,56,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,A
SAN MIGUEL,colegio chile,Cristian Rodrigo Hidalgo Morales,14,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,A
SAN MIGUEL,colegio chile,Cristian Rodrigo Ocaranza Valenzuela,35,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,U
SAN MIGUEL,colegio chile,Daniela Patricia Carvajal Sanchez,108,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,P
SAN MIGUEL,colegio chile,David Alejandro Contreras Nuñez,35,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,U
SAN MIGUEL,colegio chile,David Eduardo Navarro Carachi,40,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,T
SAN MIGUEL,colegio chile,David Ismael Gabriel Gomez Vasquez,9,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,G
SAN MIGUEL,colegio chile,David Ulises Mateluna Lagos,21,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,B
SAN MIGUEL,colegio chile,Erika Cecilia Contreras Delgado,23,PIRAMIDE,1089,-33.50099315608137,-70.65444433965324,X
SAN MIGUEL,colegio chile,Erwin Andres Vera Salazar,1,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,X
SAN MIGUEL,colegio chile,Eva Marian Merino Garces,170,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Fabio Stefano Zunino Poblete,36,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,F
SAN MIGUEL,colegio chile,Felipe Guevara Stephens,212,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,I
SAN MIGUEL,colegio chile,Fernando Gabriel Zambrano Urrutia,36,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Gabriel Alejandro Zuñiga Aravena,150,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,U
SAN MIGUEL,colegio chile,Gabriel Antonio Muñoz De La Fuente,32,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,T
SAN MIGUEL,colegio chile,Grace Novoa Castillo,4,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,X
SAN MIGUEL,colegio chile,Guillermo Zacarias Aravena Mondaca,6,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,G
SAN MIGUEL,colegio chile,Gustavo Adolfo Vergara Caceres,24,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,E
SAN MIGUEL,colegio chile,Hector Enrique Chacon Carvajal,14,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,F
SAN MIGUEL,colegio chile,Helen Beatriz Gutierrez Nuñez,71,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,A
SAN MIGUEL,colegio chile,Ismael Selumiel Mena Abrigo,34,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,G
SAN MIGUEL,colegio chile,Jacqueline Barahona Assicie,57,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,E
SAN MIGUEL,colegio chile,Jeannette Gonzalez Albornoz,78,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Jennifer Carolina Mardones Mardones,37,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,E
SAN MIGUEL,colegio chile,Joaquin Andres Parra Arancibia,10,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,X
SAN MIGUEL,colegio chile,Jose Luis Oyarce Garay,47,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,I
SAN MIGUEL,colegio chile,Joshua Andrei Carcamo Solar,139,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Lisette Wendoline Roa Aedo,17,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,U
SAN MIGUEL,colegio chile,Luis Humberto Sanhueza Bravo,165,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,I
SAN MIGUEL,colegio chile,Luisa Cristina Alves Flores,14,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,X
SAN MIGUEL,colegio chile,Luz Marina Garrido De La Vega,20,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,F
SAN MIGUEL,colegio chile,Marcela Susana Arias Garcia,66,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Maria Eugenia Tamar Arce Soto,18,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,T
SAN MIGUEL,colegio chile,Matias Andres Aranguiz Kahn,9,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,G
SAN MIGUEL,colegio chile,Michael Elias Lagos Guajardo,15,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Mitzy Alejandra Ramirez Vidal,18,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,T
SAN MIGUEL,colegio chile,Monica Alejandra Squella Rojas,15,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,F
SAN MIGUEL,colegio chile,Monica Gloria Reyes Riffo,43,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,B
SAN MIGUEL,colegio chile,Pablo Esteban Leal Sepulveda,72,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,Y
SAN MIGUEL,colegio chile,Pablo Ignacio Zola Corvalan,23,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,I
SAN MIGUEL,colegio chile,Pamela Angella Pistono Tiboni,100,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,I
SAN MIGUEL,colegio chile,Pedro Alejandro Valenzuela Yañez,32,PIRAMIDE,1089,-33.5009931560814,-70.6544443396532,X
